city,2013,2014,2015,2016,2017,2018,2019
Walnut Creek city,66812,67500,68747,69235,69645,69843,70166
Wasco city,25909,26201,26161,26322,26855,27915,28710
Waterford city,8579,8679,8744,8823,8898,8936,8962
Watsonville city,52412,52959,53528,53774,53919,53875,53856
Weed city,2884,2712,2542,2643,2705,2695,2725
West Covina city,107348,107447,107540,107437,106942,105964,105101
West Hollywood city,35101,35475,35856,36510,36796,36687,36475
Westlake Village city,8446,8452,8457,8428,8392,8327,8217
Westminster city,91624,91555,91582,91510,91176,90742,90643
Westmorland city,2256,2263,2258,2267,2272,2270,2254
West Sacramento city,49978,51637,52431,52933,53304,53601,53519
Wheatland city,3508,3508,3728,3763,3819,3869,3873
Whittier city,86326,86482,86705,86600,86326,85791,85098
Wildomar city,33639,35111,35317,35920,36697,37086,37229
Williams city,5125,5098,5106,5145,5265,5242,5408
Willits city,4859,4862,4867,4885,4898,4925,4890
Willows city,6064,6064,6011,6018,6005,6004,6072
Windsor town,27157,27280,27373,27493,27431,27769,27128
Winters city,6894,6922,7006,7139,7251,7277,7315
Woodlake city,7600,7629,7625,7614,7629,7621,7658
Woodland city,56713,57328,58385,59098,59923,60474,60548
Woodside town,5471,5521,5555,5570,5547,5504,5458
Yorba Linda city,66803,67359,67527,68033,67895,67589,67644
Yountville city,2954,2971,2992,2992,2977,2982,2966
Yreka city,7546,7533,7539,7545,7557,7523,7518
Yuba City city,65538,65757,66134,66218,66564,66695,67010
Yucaipa city,52546,52730,52981,53186,53496,53557,53921
Yucca Valley town,21044,21304,21431,21538,21650,21691,21777
