,incident_name,incident_dateonly_extinguished,incident_dateonly_created,incident_acres_burned,incident_longitude,incident_latitude,city,incident_county,incident_id,incident_url
784,La Tuna Fire,2018-01-09,2017-09-01,7194,-118.2674,34.22957,La Crescenta-Montrose,Los Angeles,c2bf9820-7e90-43c4-bd3d-1b26ef7ada51,https://www.fire.ca.gov/incidents/2017/9/1/la-tuna-fire/
785,Mission Fire,2018-01-09,2017-09-03,1035,-119.48067,37.21616,Auberry,Madera,297d6516-ce4f-407d-93f8-9669dc6fd392,https://www.fire.ca.gov/incidents/2017/9/3/mission-fire/
786,Parkfield Fire,2018-01-09,2017-09-03,100,-120.52189,36.09486,Coalinga,Fresno,a983c540-b47c-4250-a65d-c5d3d76c9b3b,https://www.fire.ca.gov/incidents/2017/9/3/parkfield-fire/
787,Palmer Fire,2018-01-09,2017-09-02,3874,-117.09984,33.97471,Calimesa,Riverside,cfa04438-152b-4f4b-a712-4343af8c7fcf,https://www.fire.ca.gov/incidents/2017/9/2/palmer-fire/
788,Margarita Fire,2018-01-09,2017-09-03,120,-120.50886,35.31886,Santa Margarita,San Luis Obispo,17cd878b-0d5d-49ff-b205-7e0203908f4c,https://www.fire.ca.gov/incidents/2017/9/3/margarita-fire/
789,Mule Fire,2018-01-09,2017-09-05,21,-122.49327,39.01748,Clearlake,Lake,180ea977-b5c2-483d-b9f4-c2f8b8b05ebe,https://www.fire.ca.gov/incidents/2017/9/5/mule-fire/
790,Mills File,2018-01-09,2017-09-03,79,-120.9204,40.13278,Greenville,Plumas,ba20d998-185c-48ac-8006-15aadf4d3106,https://www.fire.ca.gov/incidents/2017/9/3/mills-file/
791,Bally Fire,2018-01-09,2017-09-03,100,-121.59899,36.99092,Gilroy,Santa Clara,7b02d757-4f96-4616-99d5-04e4eaa34440,https://www.fire.ca.gov/incidents/2017/9/3/bally-fire/
792,Peak Fire,2018-01-09,2017-09-03,680,-119.83556,37.37397,Ahwahnee,Mariposa,c7a0a280-17c9-409b-85f9-fdda301b6ede,https://www.fire.ca.gov/incidents/2017/9/3/peak-fire/
793,R-4 Fire,2018-01-09,2017-08-30,18618,-119.93499,40.69573,Janesville,Lassen,49757269-445f-4525-8698-858d8e0a5398,https://www.fire.ca.gov/incidents/2017/8/30/r-4-fire/
794,Cove Fire,2018-01-09,2017-09-23,25,-121.04445,35.76343,Lake Nacimiento,San Luis Obispo,92fc9725-ac49-4632-8bbf-e299483940b8,https://www.fire.ca.gov/incidents/2017/9/23/cove-fire/
795,Bradley Fire,2018-01-09,2017-08-28,54,-122.292,41.222,Dunsmuir,Siskiyou,59fae761-fd49-4f06-a2e9-1495c00eb7e9,https://www.fire.ca.gov/incidents/2017/8/28/bradley-fire/
796,Sandy Fire,2018-01-09,2017-08-02,32,-123.375,40.804,Willow Creek,Trinity,5ef75bbf-adba-424a-bef3-a5efed5b5e2c,https://www.fire.ca.gov/incidents/2017/8/2/sandy-fire/
797,Table Fire,2018-03-26,2017-09-19,39,-120.504134,37.896778,Jamestown,Tuolumne,38c666cb-6545-428f-985d-a2589dfb3700,https://www.fire.ca.gov/incidents/2017/9/19/table-fire/
